"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Total primary and secondary energy","Commercial and other institutional","Terajoules","283","units","0","v54272351","1.1.46","1273571","","","","0"
"2020","Canada","2016A000011124","Total primary and secondary energy","Commercial and other institutional","Terajoules","283","units","0","v54272351","1.1.46","1218562","","","","0"
"2015","Canada","2016A000011124","Total primary and secondary energy","Statistical difference","Terajoules","283","units","0","v54272352","1.1.47","165419","","","","0"
"2016","Canada","2016A000011124","Total primary and secondary energy","Statistical difference","Terajoules","283","units","0","v54272352","1.1.47","24401","","","","0"
"2017","Canada","2016A000011124","Total primary and secondary energy","Statistical difference","Terajoules","283","units","0","v54272352","1.1.47","123460","","","","0"
"2018","Canada","2016A000011124","Total primary and secondary energy","Statistical difference","Terajoules","283","units","0","v54272352","1.1.47","51781","","","","0"
"2019","Canada","2016A000011124","Total primary and secondary energy","Statistical difference","Terajoules","283","units","0","v54272352","1.1.47","19784","","","","0"
"2020","Canada","2016A000011124","Total primary and secondary energy","Statistical difference","Terajoules","283","units","0","v54272352","1.1.47","56732","","","","0"
"2015","Canada","2016A000011124","Total coal","Energy use, final demand","Terajoules","283","units","0","v54272728","1.29.18","46660","","","","0"
"2016","Canada","2016A000011124","Total coal","Energy use, final demand","Terajoules","283","units","0","v54272728","1.29.18","40467","","","","0"
"2017","Canada","2016A000011124","Total coal","Energy use, final demand","Terajoules","283","units","0","v54272728","1.29.18","39664","","","","0"
"2018","Canada","2016A000011124","Total coal","Energy use, final demand","Terajoules","283","units","0","v54272728","1.29.18","38972","","","","0"
"2019","Canada","2016A000011124","Total coal","Energy use, final demand","Terajoules","283","units","0","v54272728","1.29.18","41960","","","","0"
"2020","Canada","2016A000011124","Total coal","Energy use, final demand","Terajoules","283","units","0","v54272728","1.29.18","33697","","","","0"
"2015","Canada","2016A000011124","Total coal","Total industrial","Terajoules","283","units","0","v54272739","1.29.31","45006","","","","0"
"2016","Canada","2016A000011124","Total coal","Total industrial","Terajoules","283","units","0","v54272739","1.29.31","","x","","","0"
"2017","Canada","2016A000011124","Total coal","Total industrial","Terajoules","283","units","0","v54272739","1.29.31","38411","","","","0"
"2018","Canada","2016A000011124","Total coal","Total industrial","Terajoules","283","units","0","v54272739","1.29.31","37989","","","","0"
"2019","Canada","2016A000011124","Total coal","Total industrial","Terajoules","283","units","0","v54272739","1.29.31","41030","","","","0"
"2020","Canada","2016A000011124","Total coal","Total industrial","Terajoules","283","units","0","v54272739","1.29.31","33077","","","","0"
"2015","Canada","2016A000011124","Total coal","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v1242113033","1.29.43","","x","","","0"
"2016","Canada","2016A000011124","Total coal","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v1242113033","1.29.43","","x","","","0"
"2017","Canada","2016A000011124","Total coal","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v1242113033","1.29.43","","x","","","0"
"2018","Canada","2016A000011124","Total coal","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v1242113033","1.29.43","","x","","","0"
"2019","Canada","2016A000011124","Total coal","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v1242113033","1.29.43","931","","","","0"
"2020","Canada","2016A000011124","Total coal","Agriculture, fishing, hunting and trapping","Terajoules","283","units","0","v1242113033","1.29.43","620","","","","0"
"2015","Canada","2016A000011124","Total coal","Residential","Terajoules","283","units","0","v54272741","1.29.44","306","","","","0"
